Game_ID,GAME_DATE,Local_team_id,Visitor_team_id,Target_Local_Win,FGpct_diff,FG3apct_diff,FTpct_diff,AST_rate_diff,OREB_rate_diff,DREB_rate_diff,STL_rate_diff,BLK_rate_diff,PF_rate_diff,PTS_rate_diff,WinRate_diff,Standings_WinPct_diff,Standings_Rank_diff,Starters_PlusMinus_diff
21500546,2016-01-08,1610612759,1610612752,1,0.06540000000000012,0.06529999999999997,-0.03225000000000022,0.07686931095102945,-0.00938455846264738,0.1036899785093458,0.026973106523666718,0.0013992384989339468,-0.05827230124427302,0.08719201175761415,0.55,0.0,0.0,0.0
21500557,2016-01-10,1610612750,1610612742,0,-0.0010000000000000564,-0.0015999999999999348,0.008749999999999925,-0.0067673989577740346,0.051785432225974176,-0.01203709023700239,0.015550109038210122,0.0034168352118033735,0.016170922578667174,-0.018805461216470976,-0.25,0.0,0.0,0.0
21500585,2016-01-13,1610612758,1610612740,0,0.031950000000000256,0.036049999999999915,-0.0727000000000001,0.04452387220942297,0.050454644789801606,-0.019681220454284998,0.006812183469873917,-0.012960245483329524,-0.029424633166036995,0.049798028901236524,0.3,0.0,0.0,0.0
21500582,2016-01-13,1610612760,1610612742,1,0.025450000000000028,0.012349999999999972,0.0029999999999998916,-0.009648095534068452,0.10014406525753128,-0.04464134063890213,0.018465162214490877,0.025650608650935228,-0.00826405224970539,0.07495210455768664,0.25,0.0,0.0,0.0
21500579,2016-01-13,1610612751,1610612752,1,0.017050000000000065,-0.04920000000000002,-0.09480000000000022,0.017643405861107853,0.009056106789321117,0.06638153599237784,0.015904031629271037,-0.021185706169460805,-0.03327348158990964,-0.043973116730851136,-0.10000000000000003,0.0,0.0,0.0
21500590,2016-01-14,1610612759,1610612739,1,0.050350000000000006,0.0591000000000001,0.07285000000000008,0.05988983587446145,-0.0025372368672036127,4.662614240058538e-05,0.015796251125374583,0.02950043316980197,-0.04067804358476984,0.07677222709142195,0.4,0.0,0.0,0.0
21500588,2016-01-14,1610612753,1610612761,0,0.015749999999999875,0.03465000000000007,-0.05215000000000003,0.05720537906342579,0.023327266639179778,-0.021500980156082594,-0.007844739162157832,-0.006714982426053805,0.013755757298447718,0.009799778915801971,0.04999999999999993,0.0,0.0,0.0
21500601,2016-01-15,1610612745,1610612739,0,0.008349999999999969,0.009900000000000075,-0.01805000000000001,0.010923047689036514,0.01174636986413577,-0.06512583570177632,0.021683174922675283,0.015103735985757101,-0.006396085049972355,0.022750083913279262,0.050000000000000044,0.0,0.0,0.0
21500596,2016-01-15,1610612751,1610612757,0,0.013749999999999984,-0.020450000000000024,-0.023600000000000065,0.01660232554934013,-0.013720417901259108,-0.004193462939561687,0.013693402506166283,-0.0037862947252709153,-0.04941554150210786,-0.042872605683346166,0.04999999999999999,0.0,0.0,0.0
21500595,2016-01-15,1610612738,1610612756,1,-0.01864999999999989,-0.04980000000000001,-0.010200000000000098,0.029217692275757684,0.021871819681974575,-0.023880002152777413,0.0055914063289270455,0.008515890747974035,-0.012328887562247426,0.014912957260215132,0.3,0.0,0.0,0.0
