Game_id,Local_team_id,Visitor_team_id,Visitor_WL,Local_WL,Visitor_FgPct,Local_FgPct,Visitor_FG3aPct,Local_FG3aPct,Visitor_FtPct,Local_FtPct,Visitor_AST,Local_AST,Visitor_OREB,Local_OREB,Visitor_DREB,Local_DREB,Visitor_STL,Local_STL,Visitor_BLK,Local_BLK,Visitor_PF,Local_PF,Visitor_PTS,Local_PTS
22400089,1610612765,1610612738,W,L,0.422,0.489,0.458,0.359,0.867,0.818,19,27,13,9,24,35,10,4,6,7,16,22,124,118
22400090,1610612764,1610612739,W,L,0.534,0.385,0.462,0.349,0.676,0.844,27,25,11,18,37,28,13,6,10,9,27,25,135,116
22400091,1610612741,1610612760,W,L,0.421,0.348,0.2,0.283,0.8,0.727,21,23,9,11,45,50,15,6,5,2,18,19,114,95
22400092,1610612763,1610612753,L,W,0.425,0.535,0.354,0.382,0.714,0.792,21,38,12,6,29,36,10,10,6,5,20,24,111,124
22400093,1610612750,1610612761,L,W,0.456,0.47,0.345,0.378,0.692,0.769,29,29,12,9,34,32,9,9,4,8,22,16,101,112
22400094,1610612759,1610612745,L,W,0.413,0.494,0.317,0.4,0.81,0.821,21,23,8,10,26,39,10,6,3,7,24,18,106,109
22400095,1610612756,1610612742,L,W,0.398,0.45,0.317,0.359,0.833,0.757,22,26,12,7,34,40,6,3,2,4,28,17,102,114
22400096,1610612747,1610612758,L,W,0.511,0.522,0.341,0.412,0.88,0.875,32,32,5,13,27,32,12,8,5,3,19,19,127,131
22400097,1610612754,1610612755,W,L,0.429,0.464,0.262,0.406,0.742,0.676,15,28,20,7,34,30,9,8,4,4,26,26,118,114
22400098,1610612751,1610612749,L,W,0.446,0.429,0.303,0.356,0.839,0.913,20,23,7,12,36,35,7,9,3,3,17,26,102,115
22400099,1610612757,1610612740,L,W,0.432,0.462,0.276,0.4,0.792,0.781,24,25,15,22,24,29,9,9,8,8,22,21,103,125
22400100,1610612760,1610612737,L,W,0.396,0.494,0.323,0.4,0.759,0.75,24,26,17,11,32,34,7,13,4,12,23,23,104,128
22400101,1610612744,1610612746,W,L,0.467,0.432,0.313,0.326,0.783,0.636,27,19,14,14,34,33,11,10,2,5,21,22,112,104
22400102,1610612753,1610612754,L,W,0.466,0.47,0.448,0.317,0.667,0.737,25,26,15,11,29,35,7,7,4,6,28,25,115,119
22400103,1610612737,1610612764,W,L,0.451,0.481,0.477,0.375,0.818,0.722,24,32,9,6,34,33,7,12,3,7,25,22,121,119
22400104,1610612738,1610612749,L,W,0.451,0.494,0.258,0.383,0.839,0.789,18,24,8,4,35,34,7,5,6,5,24,18,108,119
22400105,1610612748,1610612765,L,W,0.385,0.432,0.368,0.319,0.824,0.75,14,24,19,10,35,34,6,14,6,3,19,14,98,106
22400106,1610612752,1610612739,W,L,0.476,0.444,0.333,0.321,0.833,0.833,21,22,9,13,32,30,10,8,5,3,20,21,110,104
22400107,1610612761,1610612743,W,L,0.49,0.45,0.45,0.286,0.8,0.81,29,30,15,18,37,36,6,7,6,7,20,27,127,125
22400108,1610612763,1610612741,W,L,0.45,0.459,0.472,0.326,0.647,0.538,36,37,11,18,39,42,5,5,6,9,15,21,126,123
22400109,1610612759,1610612745,W,L,0.412,0.425,0.405,0.303,0.875,0.81,20,22,13,17,30,32,6,6,2,6,23,21,106,101
22400110,1610612742,1610612762,L,W,0.37,0.453,0.286,0.282,0.828,0.765,24,27,15,13,35,37,7,9,5,12,17,23,102,110
22400111,1610612756,1610612747,L,W,0.415,0.46,0.438,0.306,0.722,0.9,25,21,11,9,35,37,5,7,6,11,19,22,105,109
22400112,1610612758,1610612757,L,W,0.422,0.457,0.182,0.4,0.8,0.92,17,25,12,9,34,31,5,8,4,6,22,27,98,111
22400113,1610612751,1610612743,W,L,0.517,0.51,0.481,0.385,0.83,0.778,31,37,9,7,34,34,3,4,4,6,22,32,144,139
22400114,1610612750,1610612742,W,L,0.484,0.506,0.41,0.487,0.778,0.654,25,33,12,11,28,31,12,5,2,2,21,20,120,114
22400115,1610612762,1610612758,W,L,0.522,0.393,0.258,0.292,0.643,0.857,26,24,9,12,40,30,9,7,9,4,19,16,113,96
22400116,1610612744,1610612740,L,W,0.541,0.474,0.409,0.457,0.708,0.846,23,34,9,11,35,23,4,15,6,9,13,20,106,124
22400117,1610612766,1610612761,L,W,0.571,0.521,0.321,0.444,0.667,0.8,37,31,13,14,28,24,9,9,5,8,25,24,133,138
22400118,1610612739,1610612747,L,W,0.494,0.577,0.214,0.415,0.848,0.625,21,37,5,6,32,30,6,14,0,2,7,26,110,134
22400119,1610612754,1610612738,L,W,0.404,0.481,0.333,0.395,0.806,0.833,23,33,18,16,33,41,11,10,5,5,19,26,132,135
22400120,1610612755,1610612765,W,L,0.462,0.418,0.417,0.286,0.818,0.75,23,17,12,8,37,29,4,7,5,4,25,21,105,95
22400121,1610612764,1610612737,L,W,0.474,0.528,0.308,0.421,0.857,0.92,28,32,12,6,29,31,10,10,3,5,19,21,120,133
22400122,1610612748,1610612752,W,L,0.488,0.457,0.45,0.425,0.9,0.667,30,27,7,7,35,32,8,6,4,3,16,17,116,107
22400123,1610612741,1610612753,L,W,0.407,0.429,0.239,0.382,0.9,0.68,25,23,6,9,36,45,9,6,8,2,19,16,99,102
22400124,1610612763,1610612751,W,L,0.513,0.469,0.366,0.296,0.88,0.759,27,27,8,12,26,26,10,9,2,3,25,21,119,106
22400125,1610612760,1610612759,L,W,0.412,0.461,0.333,0.415,0.846,0.75,22,28,13,5,39,34,6,18,6,6,8,15,93,105
22400126,1610612744,1610612740,L,W,0.367,0.471,0.306,0.342,0.6,0.692,24,32,18,13,31,29,7,5,6,9,17,22,89,104
22400127,1610612746,1610612757,W,L,0.446,0.456,0.424,0.361,0.833,0.556,19,26,12,13,35,36,9,10,6,5,18,19,106,105
22400128,1610612763,1610612749,L,W,0.427,0.524,0.214,0.286,0.421,0.903,20,26,9,7,29,49,10,6,4,3,27,21,99,122
22400129,1610612742,1610612745,W,L,0.412,0.459,0.235,0.333,0.741,0.7,21,21,18,10,32,27,4,6,4,7,20,27,108,102
22400130,1610612762,1610612759,W,L,0.413,0.39,0.279,0.219,0.783,0.895,25,19,11,15,31,38,17,6,7,6,17,19,106,88
22400131,1610612746,1610612756,W,L,0.512,0.484,0.462,0.343,0.821,0.81,29,27,8,15,31,33,12,8,4,8,20,22,125,119
22400132,1610612766,1610612738,W,L,0.477,0.462,0.31,0.396,0.829,0.5,21,20,11,12,30,30,12,5,5,5,13,26,124,109
22400133,1610612739,1610612753,L,W,0.456,0.506,0.333,0.395,0.667,0.85,26,25,7,7,32,42,10,6,4,4,17,21,109,120
22400134,1610612765,1610612752,W,L,0.515,0.506,0.474,0.324,0.6,0.714,31,23,12,6,33,32,16,6,3,9,14,12,128,98
22400135,1610612737,1610612758,W,L,0.483,0.446,0.333,0.38,0.867,0.778,28,30,10,8,41,32,9,8,4,4,21,22,123,115
22400136,1610612751,1610612741,L,W,0.432,0.521,0.386,0.306,0.792,0.846,24,34,10,9,34,37,5,11,3,6,15,20,112,120
22400137,1610612761,1610612747,W,L,0.477,0.486,0.344,0.286,0.878,0.846,29,35,9,15,34,29,6,4,5,6,17,29,131,125
22400138,1610612740,1610612754,L,W,0.517,0.485,0.421,0.387,0.769,0.789,35,28,6,15,33,31,3,8,3,4,21,15,118,125
22400139,1610612750,1610612743,L,W,0.446,0.518,0.344,0.429,0.793,0.833,30,34,17,8,29,30,11,8,2,9,18,22,116,119
22400140,1610612757,1610612760,W,L,0.537,0.47,0.388,0.429,0.842,0.677,31,27,14,11,31,25,14,8,9,5,29,17,137,114
22400141,1610612766,1610612738,W,L,0.439,0.44,0.308,0.405,0.893,0.667,23,24,8,7,36,27,4,10,4,1,17,25,113,103
22400142,1610612755,1610612763,W,L,0.552,0.404,0.444,0.413,0.762,0.8,35,22,11,8,41,25,9,11,6,5,22,19,124,107
22400143,1610612761,1610612758,L,W,0.46,0.484,0.25,0.459,0.813,0.71,21,31,15,12,34,34,16,13,3,3,22,25,128,131
22400144,1610612745,1610612744,W,L,0.513,0.411,0.469,0.333,0.64,0.75,26,27,9,18,38,31,5,10,4,6,22,32,127,121
22400145,1610612749,1610612739,W,L,0.484,0.483,0.395,0.462,0.733,0.6,31,24,10,10,35,35,3,3,2,3,20,23,114,113
22400146,1610612759,1610612750,L,W,0.476,0.518,0.297,0.31,0.7,0.824,21,32,6,7,26,37,7,6,2,5,16,16,103,113
22400147,1610612764,1610612748,W,L,0.422,0.418,0.405,0.2,0.708,0.714,19,23,21,8,44,36,6,12,3,10,18,22,118,98
22400148,1610612743,1610612762,L,W,0.416,0.485,0.31,0.5,0.839,0.739,24,33,8,19,31,33,7,14,8,1,22,25,103,129
22400149,1610612756,1610612757,L,W,0.333,0.376,0.326,0.327,0.818,0.727,17,29,14,13,42,50,10,4,5,8,18,10,97,103
22400150,1610612746,1610612760,W,L,0.429,0.405,0.41,0.314,0.895,0.654,25,23,3,10,38,40,11,10,3,7,22,17,105,92
22400151,1610612751,1610612765,W,L,0.481,0.451,0.306,0.29,0.808,0.613,25,23,9,4,38,23,4,9,6,3,25,24,106,92
22400152,1610612740,1610612737,W,L,0.568,0.433,0.417,0.421,0.917,0.85,29,22,10,18,31,25,10,6,3,3,17,16,126,111
22400153,1610612742,1610612753,L,W,0.333,0.494,0.195,0.313,0.789,0.609,19,25,13,12,30,41,8,8,4,5,22,22,85,108
22400154,1610612739,1610612749,L,W,0.488,0.505,0.486,0.459,0.867,0.538,21,28,7,5,42,34,6,10,6,4,15,15,114,116
22400155,1610612764,1610612744,W,L,0.454,0.438,0.324,0.233,0.735,0.857,29,29,16,8,40,39,5,4,7,8,20,23,125,112
22400156,1610612765,1610612747,L,W,0.435,0.469,0.36,0.235,0.741,0.773,28,22,7,17,30,38,8,6,1,5,16,25,103,115
22400157,1610612737,1610612738,W,L,0.485,0.416,0.327,0.194,0.692,0.813,27,23,11,8,39,35,15,9,7,3,14,13,123,93
22400158,1610612751,1610612763,L,W,0.473,0.476,0.267,0.361,0.769,0.722,29,28,13,12,31,25,5,7,8,1,16,22,104,106
22400159,1610612748,1610612758,W,L,0.512,0.435,0.37,0.417,0.867,0.7,23,24,11,8,28,28,5,9,4,6,28,15,111,110
22400160,1610612741,1610612762,W,L,0.539,0.474,0.444,0.378,0.767,0.88,35,36,12,10,37,26,3,7,6,7,18,23,135,126
22400161,1610612745,1610612752,L,W,0.386,0.489,0.393,0.242,0.857,0.833,20,21,13,11,26,39,6,4,4,6,18,20,97,109
22400162,1610612750,1610612766,L,W,0.398,0.494,0.238,0.474,0.813,0.692,19,23,9,9,29,36,10,7,1,8,22,19,93,114
22400163,1610612760,1610612753,L,W,0.354,0.459,0.147,0.387,0.852,0.75,20,23,7,5,34,37,12,12,5,4,16,21,86,102
22400164,1610612740,1610612757,W,L,0.548,0.452,0.345,0.286,0.667,0.875,21,24,11,10,27,24,10,5,5,3,15,20,118,100
22400165,1610612742,1610612754,W,L,0.568,0.517,0.406,0.417,0.65,0.8,30,29,7,5,39,33,5,4,3,3,16,18,134,127
22400166,1610612743,1610612761,L,W,0.456,0.494,0.333,0.323,0.667,0.763,38,29,14,14,27,30,12,9,3,10,27,21,119,121
22400167,1610612756,1610612755,L,W,0.46,0.512,0.392,0.344,0.889,0.885,27,24,9,9,29,34,10,6,4,4,22,16,116,118
22400168,1610612746,1610612759,L,W,0.442,0.456,0.268,0.514,0.895,0.706,22,25,12,16,33,28,9,6,10,7,16,21,104,113
22400169,1610612766,1610612765,L,W,0.489,0.433,0.313,0.318,0.556,1.0,34,22,6,8,40,39,5,5,4,4,20,16,107,108
22400170,1610612754,1610612753,L,W,0.512,0.539,0.28,0.462,0.769,0.923,26,21,10,4,28,32,6,7,5,3,22,24,111,118
22400171,1610612737,1610612752,L,W,0.488,0.45,0.468,0.395,0.8,0.727,29,31,7,16,34,32,5,12,5,4,18,14,116,121
